City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
236,marovoay,-16.1,46.6333,18.16,77,5,1.2,MG,1720147958
237,kapuskasing,49.4169,-82.4331,18.05,68,75,3.6,CA,1720147959
238,hilo,19.7297,-155.09,27.85,78,40,5.66,US,1720147961
239,rehli,23.6333,79.0833,27.6,78,100,5.91,IN,1720147962
240,taltal,-25.4,-70.4833,14.67,71,79,2.92,CL,1720147963
241,guajara mirim,-10.7828,-65.3394,26.12,64,91,1.08,BR,1720147964
242,al jawf,29.5,38.75,25.06,29,1,3.25,SA,1720147966
243,zebrzydowice,49.8779,18.6113,14.14,88,66,1.9,PL,1720147968
244,susuman,62.7833,148.1667,19.98,48,96,1.33,RU,1720147969
245,yakeshi,49.2833,120.7333,33.51,22,11,1.66,CN,1720147970
246,al majaridah,19.1236,41.9111,30.67,33,5,1.19,SA,1720147971
247,itaueira,-7.6033,-43.0256,23.31,48,0,3.03,BR,1720147972
248,tintafor,8.6267,-13.215,25.09,83,75,3.09,SL,1720147974
249,port blair,11.6667,92.75,23.02,94,100,4.12,IN,1720147975
250,tarawa,1.419,172.984,30.05,79,40,2.57,KI,1720147977
251,quepos,9.4236,-84.1652,25.5,87,100,2.07,CR,1720147978
252,san antonio de pale,-1.4014,5.6325,23.65,81,100,5.33,GQ,1720147979
253,melfort,52.8667,-104.6177,22.07,56,73,3.09,CA,1720147981
254,powell river,49.8496,-124.5361,24.07,53,0,2.57,CA,1720147982
255,kuhdasht,33.535,47.6061,26.78,15,0,2.36,IR,1720147983
256,gulf shores,30.246,-87.7008,30.03,73,20,1.54,US,1720147984
257,jessen,51.7833,12.95,11.84,93,75,1.03,DE,1720147985
258,codrington,-38.2667,141.9667,13.49,62,13,3.85,AU,1720147987
259,rio preto da eva,-2.6994,-59.6997,24.43,83,41,1.26,BR,1720147988
260,al kharijah,25.4514,30.5464,29.92,25,0,4.17,EG,1720147989
261,mundri,-6.9558,111.71,28.28,70,90,3.58,ID,1720147990
262,dihok,36.8695,42.994,28.24,23,0,2.98,IQ,1720147991
